Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;Р О З К Л А Д ;;;;;;;;
СЕРЕДА        14.09;1;С   о   ц   і   о   л   о   г   і   я                                      доц.Долголенко І.А.;С   о   ц   і   о   л   о   г   і   я                                      доц.Долголенко І.А.;С   о   ц   і   о   л   о   г   і   я                                      доц.Долголенко І.А.;С   о   ц   і   о   л   о   г   і   я                                      доц.Долголенко І.А.;С   о   ц   і   о   л   о   г   і   я                                      доц.Долголенко І.А.;С   о   ц   і   о   л   о   г   і   я                                      доц.Долголенко І.А.;;;;;;;
СЕРЕДА        14.09;2;Опір матеріалів доц.Федорова О.В.;Опір матеріалів доц.Федорова О.В.;;Тестові моделі та техн. їх конструювання доц.Івлієва О.М.;Економ. підпр. ІІ               викл.Гилка У.Л.;Маркетинг в туризмі викл. Шевченко-Перепьолкіна Р.І.;;;;;;;
СЕРЕДА        14.09;3;Українська мова за професійним спрямуванням                      доц. Делюсто М.С.;Українська мова за професійним спрямуванням                      доц. Делюсто М.С.;Українська мова за професійним спрямуванням                      доц. Делюсто М.С.;Українська мова за професійним спрямуванням                      доц. Делюсто М.С.;Українська мова за професійним спрямуванням                      доц. Делюсто М.С.;Українська мова за професійним спрямуванням                      доц. Делюсто М.С.;;;;;;;
СЕРЕДА        14.09;4;;;;;;;;;;;;;
СЕРЕДА        14.09;5;;;;;;;;;;;;;
ЧЕТВЕР         15.09;1;Технологічний практикум                                доц. Букатова О.М.;Технологічний практикум                                доц. Букатова О.М.;;Тестові моделі та техн. їх конструювання доц.Івлієва О.М.;Фінанси                  викл.Гилка У.Л.;Організація туризму викл.Міщук Ж.В.;;;;;;;
ЧЕТВЕР         15.09;2;Технологічний практикум                                доц. Букатова О.М.;Технологічний практикум                                доц. Букатова О.М.;;Моделювання та параметризація тестів            доц.Івлієва О.М.;Англ.мова викл.Шикиринська О.Б.;Міжнародна політика в сфері туризму                   викл. Шевченко-Перепьолкіна Р.І.;;;;;;;
ЧЕТВЕР         15.09;3;Основи проектування, моделювання і дизайну доц.Букатова О.М.;Основи проектування, моделювання і дизайну доц.Букатова О.М.;Теорія ймовірності та мат.статистика (+4к)доц. Івлієва О.М.;Теорія ймовірності та мат.статистика (+4к)доц. Івлієва О.М.;Логістика викл.Степанова Н.О.;Організація готельного господарства викл.Міщук Ж.В.;;;;;;;
ЧЕТВЕР         15.09;4;;;;;;Болг.мова                     доц.Гончар Н.М.;;;;;;;
ЧЕТВЕР         15.09;5;Спеціальна медична група                           доц.Смакула О.І.;Спеціальна медична група                           доц.Смакула О.І.;Спеціальна медична група                           доц.Смакула О.І.;Спеціальна медична група                           доц.Смакула О.І.;Спеціальна медична група                           доц.Смакула О.І.;Спеціальна медична група                           доц.Смакула О.І.;;;;;;;
